Time;Value
0;0
0.001;0
0.002;0
0.003;0
0.004;0
0.005;0
0.006;0
0.007;0
0.008;0
0.009;0
0.01;0
0.011;0
0.012;0
0.013;0
0.014;0
0.015;0
0.016;0
0.017;0
0.018;0
0.019;0
0.02;0
0.021;0
0.022;0
0.023;0
0.024;0
0.025;0
0.026;0
0.027;0
0.028;0
0.029;0
0.03;0
0.031;0
0.032;0
0.033;0
0.034;0
0.035;0
0.036;0
0.037;0
0.038;0
0.039;0
0.04;0
0.041;0
0.042;0
0.043;0
0.044;0
0.045;0
0.046;0
0.047;0
0.048;0
0.049;0
0.05;0
0.051;0
0.052;0
0.053;0
0.054;0
0.055;0
0.056;0
0.057;0
0.058;0
0.059;0
0.06;0
0.061;0
0.062;0
0.063;0
0.064;0
0.065;0
0.066;0
0.067;0
0.068;0
0.069;0
0.07;0
0.071;0
0.072;0
0.073;0
0.074;0
0.075;0
0.076;0
0.077;0
0.078;0
0.079;0
0.08;0
0.081;0
0.082;0
0.083;0
0.084;0
0.085;0
0.086;0
0.087;0
0.088;0
0.089;0
0.09;0
0.091;0
0.092;0
0.093;0
0.094;0
0.095;0
0.096;0
0.097;0
0.098;0
0.099;0
0.1;0
0.101;0
0.102;0
0.103;0
0.104;0
0.105;0
0.106;0
0.107;0
0.108;0
0.109;0
0.11;0
0.111;0
0.112;0
0.113;0
0.114;0
0.115;0
0.116;0
0.117;0
0.118;0
0.119;0
0.12;0
0.121;0
0.122;0
0.123;0
0.124;0
0.125;0
0.126;0
0.127;0
0.128;0
0.129;0
0.13;0
0.131;0
0.132;0
0.133;0
0.134;0
0.135;0
0.136;0
0.137;0
0.138;0
0.139;0
0.14;0
0.141;0
0.142;0
0.143;0
0.144;0
0.145;0
0.146;0
0.147;0
0.148;0
0.149;0
0.15;0
0.151;0
0.152;0
0.153;0
0.154;0
0.155;0
0.156;0
0.157;0
0.158;0
0.159;0
0.16;0
0.161;0
0.162;0
0.163;0
0.164;0
0.165;0
0.166;0
0.167;0
0.168;0
0.169;0
0.17;0
0.171;0
0.172;0
0.173;0
0.174;0
0.175;0
0.176;0
0.177;0
0.178;0
0.179;0
0.18;0
0.181;0
0.182;0
0.183;0
0.184;0
0.185;0
0.186;0
0.187;0
0.188;0
0.189;0
0.19;0
0.191;0
0.192;0
0.193;0
0.194;0
0.195;0
0.196;0
0.197;0
0.198;0
0.199;0
0.2;0
0.201;0
0.202;0
0.203;0
0.204;0
0.205;0
0.206;0
0.207;0
0.208;0
0.209;0
0.21;0
0.211;0
0.212;0
0.213;0
0.214;0
0.215;0
0.216;0
0.217;0
0.218;0
0.219;0
0.22;0
0.221;0
0.222;0
0.223;0
0.224;0
0.225;0
0.226;0
0.227;0
0.228;0
0.229;0
0.23;0
0.231;0
0.232;0
0.233;0
0.234;0
0.235;0
0.236;0
0.237;0
0.238;0
0.239;0
0.24;0
0.241;0
0.242;0
0.243;0
0.244;0
0.245;0
0.246;0
0.247;0
0.248;0
0.249;0
0.25;0
0.251;0
0.252;0
0.253;0
0.254;0
0.255;0
0.256;0
0.257;0
0.258;0
0.259;0
0.26;0
0.261;0
0.262;0
0.263;0
0.264;0
0.265;0
0.266;0
0.267;0
0.268;0
0.269;0
0.27;0
0.271;0
0.272;0
0.273;0
0.274;0
0.275;0
0.276;0
0.277;0
0.278;0
0.279;0
0.28;0
0.281;0
0.282;0
0.283;0
0.284;0
0.285;0
0.286;0
0.287;0
0.288;0
0.289;0
0.29;0
0.291;0
0.292;0
0.293;0
0.294;0
0.295;0
0.296;0
0.297;0
0.298;0
0.299;0
0.3;0
0.301;0
0.302;0
0.303;0
0.304;0
0.305;0
0.306;0
0.307;0
0.308;0
0.309;0
0.31;0
0.311;0
0.312;0
0.313;0
0.314;0
0.315;0
0.316;0
0.317;0
0.318;0
0.319;0
0.32;0
0.321;0
0.322;0
0.323;0
0.324;0
0.325;0
0.326;0
0.327;0
0.328;0
0.329;0
0.33;0
0.331;0
0.332;0
0.333;0
0.334;0
0.335;0
0.336;0
0.337;0
0.338;0
0.339;0
0.34;0
0.341;0
0.342;0
0.343;0
0.344;0
0.345;0
0.346;0
0.347;0
0.348;0
0.349;0
0.35;0
0.351;0
0.352;0
0.353;0
0.354;0
0.355;0
0.356;0
0.357;0
0.358;0
0.359;0
0.36;0
0.361;0
0.362;0
0.363;0
0.364;0
0.365;0
0.366;0
0.367;0
0.368;0
0.369;0
0.37;0
0.371;0
0.372;0
0.373;0
0.374;0
0.375;0
0.376;0
0.377;0
0.378;0
0.379;0
0.38;0
0.381;0
0.382;0
0.383;0
0.384;0
0.385;0
0.386;0
0.387;0
0.388;0
0.389;0
0.39;0
0.391;0
0.392;0
0.393;0
0.394;0
0.395;0
0.396;0
0.397;0
0.398;0
0.399;0
0.4;0
0.401;0
0.402;0
0.403;0
0.404;0
0.405;0
0.406;0
0.407;0
0.408;0
0.409;0
0.41;0
0.411;0
0.412;0
0.413;0
0.414;0
0.415;0
0.416;0
0.417;0
0.418;0
0.419;0
0.42;0
0.421;0
0.422;0
0.423;0
0.424;0
0.425;0
0.426;0
0.427;0
0.428;0
0.429;0
0.43;0
0.431;0
0.432;0
0.433;0
0.434;0
0.435;0
0.436;0
0.437;0
0.438;0
0.439;0
0.44;0
0.441;0
0.442;0
0.443;0
0.444;0
0.445;0
0.446;0
0.447;0
0.448;0
0.449;0
0.45;0
0.451;0
0.452;0
0.453;0
0.454;0
0.455;0
0.456;0
0.457;0
0.458;0
0.459;0
0.46;0
0.461;0
0.462;0
0.463;0
0.464;0
0.465;0
0.466;0
0.467;0
0.468;0
0.469;0
0.47;0
0.471;0
0.472;0
0.473;0
0.474;0
0.475;0
0.476;0
0.477;0
0.478;0
0.479;0
0.48;0
0.481;0
0.482;0
0.483;0
0.484;0
0.485;0
0.486;0
0.487;0
0.488;0
0.489;0
0.49;0
0.491;0
0.492;0
0.493;0
0.494;0
0.495;0
0.496;0
0.497;0
0.498;0
0.499;0
0.5;1
0.501;1
0.502;1
0.503;1
0.504;1
0.505;1
0.506;1
0.507;1
0.508;1
0.509;1
0.51;1
0.511;1
0.512;1
0.513;1
0.514;1
0.515;1
0.516;1
0.517;1
0.518;1
0.519;1
0.52;1
0.521;1
0.522;1
0.523;1
0.524;1
0.525;1
0.526;1
0.527;1
0.528;1
0.529;1
0.53;1
0.531;1
0.532;1
0.533;1
0.534;1
0.535;1
0.536;1
0.537;1
0.538;1
0.539;1
0.54;1
0.541;1
0.542;1
0.543;1
0.544;1
0.545;1
0.546;1
0.547;1
0.548;1
0.549;1
0.55;1
0.551;1
0.552;1
0.553;1
0.554;1
0.555;1
0.556;1
0.557;1
0.558;1
0.559;1
0.56;1
0.561;1
0.562;1
0.563;1
0.564;1
0.565;1
0.566;1
0.567;1
0.568;1
0.569;1
0.57;1
0.571;1
0.572;1
0.573;1
0.574;1
0.575;1
0.576;1
0.577;1
0.578;1
0.579;1
0.58;1
0.581;1
0.582;1
0.583;1
0.584;1
0.585;1
0.586;1
0.587;1
0.588;1
0.589;1
0.59;1
0.591;1
0.592;1
0.593;1
0.594;1
0.595;1
0.596;1
0.597;1
0.598;1
0.599;1
0.6;1
0.601;1
0.602;1
0.603;1
0.604;1
0.605;1
0.606;1
0.607;1
0.608;1
0.609;1
0.61;1
0.611;1
0.612;1
0.613;1
0.614;1
0.615;1
0.616;1
0.617;1
0.618;1
0.619;1
0.62;1
0.621;1
0.622;1
0.623;1
0.624;1
0.625;1
0.626;1
0.627;1
0.628;1
0.629;1
0.63;1
0.631;1
0.632;1
0.633;1
0.634;1
0.635;1
0.636;1
0.637;1
0.638;1
0.639;1
0.64;1
0.641;1
0.642;1
0.643;1
0.644;1
0.645;1
0.646;1
0.647;1
0.648;1
0.649;1
0.65;1
0.651;1
0.652;1
0.653;1
0.654;1
0.655;1
0.656;1
0.657;1
0.658;1
0.659;1
0.66;1
0.661;1
0.662;1
0.663;1
0.664;1
0.665;1
0.666;1
0.667;1
0.668;1
0.669;1
0.67;1
0.671;1
0.672;1
0.673;1
0.674;1
0.675;1
0.676;1
0.677;1
0.678;1
0.679;1
0.68;1
0.681;1
0.682;1
0.683;1
0.684;1
0.685;1
0.686;1
0.687;1
0.688;1
0.689;1
0.69;1
0.691;1
0.692;1
0.693;1
0.694;1
0.695;1
0.696;1
0.697;1
0.698;1
0.699;1
0.7;1
0.701;1
0.702;1
